DOR Code,Municipality,Fiscal Year,General Government,Public Safety,Education,Public Works,Human Services,Culture and Recreation,Fixed Costs,Intergov Assessments,Other Expenditures,Debt Service,Total Expenditures
001,Abington,2025,2809429,9963797,33038062,3968025,711664,860829,11231674,1391428,0,5086436,69061344
002,Acton,2025,8960973,10621115,82671578,4347509,2071819,1915409,10258177,351273,52348,1616450,122866651
003,Acushnet,2025,2348081,4672194,19356076,2377304,420143,415973,4627176,546219,0,479706,35242872
004,Adams,2025,2263438,2230652,7548198,1483146,364944,798690,2767989,58115,0,719246,18234418
005,Agawam,2025,10046271,11738897,50701154,6732264,1721711,1531657,23223384,2354574,16,2039478,110089406
006,Alford,2025,337529,99415,479118,699744,59286,16900,195752,1224,0,119050,2008018
007,Amesbury,2025,3407665,10143983,40375289,4318956,996298,924596,7702828,4861419,0,4671335,77402369
008,Amherst,2025,5504210,13178961,46191928,2222055,671667,3876062,8788100,3615146,0,2372710,86420839
009,Andover,2025,14162458,21560292,103410234,9263102,1262178,6073541,44903900,836586,772852,27598317,229843460
010,Arlington,2025,8698445,18692283,105101294,11813138,1605229,2868456,41475674,4077654,0,19929471,214261644
011,Ashburnham,2025,1642715,3251713,9029081,2205046,143505,432345,1756726,56343,122828,1480250,20120552
012,Ashby,2025,750792,1757189,5488831,902018,77683,122362,902145,31376,0,262801,10295197
013,Ashfield,2025,539844,490251,3030472,831142,64635,214829,367080,46666,0,194271,5779190
014,Ashland,2025,5107748,4511834,43509640,2606809,496822,528607,12911296,428708,0,7241050,77342514
015,Athol,2025,2281448,6122474,5770922,2269513,493748,753722,5073662,141733,597708,1870775,25375705
016,Attleboro,2025,6564114,24958855,93417227,3465135,5302801,3454694,34258428,4870842,0,10251205,186543301
017,Auburn,2025,3695441,13778612,33819115,5570436,1084506,1121874,17037508,581794,1450633,3594159,81734078
018,Avon,2025,2249245,5683835,12378008,4722510,442162,1265411,5969271,603297,152932,1411335,34878006
019,Ayer,2025,2569719,6235080,15446787,1576367,378167,906281,4308051,3035,-1226036,1307616,31505067
020,Barnstable,2025,15596917,20624330,93717103,6834630,1951662,4753459,29055197,15701205,0,7341659,195576162
021,Barre,2025,0,0,0,0,0,0,0,0,0,0,0
022,Becket,2025,1031090,1166076,3263457,1872040,69625,123919,1004040,29148,0,472402,9031797
023,Bedford,2025,10235884,9318631,51558321,16422800,1554341,1756766,16851275,456234,0,9058812,117213064
024,Belchertown,2025,3596622,5367299,30188803,2175829,847444,979822,10946456,2072800,226816,929832,57331723
025,Bellingham,2025,5112245,11527601,36789423,3528429,634396,964810,16812051,4670535,0,3824905,83864395
026,Belmont,2025,14180950,15540871,67133637,7714137,924744,3219969,27464868,2171474,0,15439443,153790093
027,Berkley,2025,986752,3815182,14736843,1240771,70804,176243,2430763,232768,199637,504562,24394325
028,Berlin,2025,1425761,3233370,9137246,890270,80127,218548,1541003,45849,51966,285475,16909615
029,Bernardston,2025,453113,814633,3609027,890925,146131,86626,397353,10049,48982,0,6456839
030,Beverly,2025,7567344,21455360,82294060,6037109,2131513,4151396,39432884,2364012,0,7186751,172620429
031,Billerica,2025,8161477,23082960,93338559,13770711,1291057,3153838,41023312,5647034,0,8104569,197573517
032,Blackstone,2025,2733202,4288660,13225439,2730463,526183,1109816,2264583,46838,0,1116915,28042099
033,Blandford,2025,684376,363897,1832673,804649,151009,102897,316004,0,2808,0,4258313
034,Bolton,2025,1654206,2818117,20293926,1769472,229115,653399,1785041,79914,0,874498,30157688
035,Boston,2025,395318256,914337445,1411729105,167307472,220477418,93501211,927382178,378127008,0,268526788,4776706881
036,Bourne,2025,6818518,14578255,30565320,3440070,943098,1035967,18389850,5824965,1803782,5408316,88808141
037,Boxborough,2025,2428533,3609098,16115213,1453802,236846,532304,2705744,83890,16220,1028492,28210142
038,Boxford,2025,2569241,3510147,28688296,2729659,458194,535421,3072933,183986,0,1467795,43215672
039,Boylston,2025,1264996,3397897,13288402,1536362,221941,423688,2005470,56812,0,406226,22601794
040,Braintree,2025,6011472,24918246,88321524,8567283,768283,3041893,37744864,5314447,1469833,10218359,186376204
