DOR Code,Municipality,Fiscal Year,Taxes,Service Charges,Licenses and Permits,Federal Revenue,State Revenue,Revenue from Other Governments,Special Assessments,Fines and Forfeitures,Miscellaneous,Other Financing Sources,Transfers,Total Revenues
001,Abington,2025,46667821,1553035,1610021,0,17841417,175,264843,5004,408993,0,2093419,70444728
002,Acton,2025,119008594,378815,1319522,0,1965830,57320,0,2705,997379,0,434363,124164528
003,Acushnet,2025,24747096,181953,242861,37290,9365445,0,0,7898,527695,0,2129221,37239459
004,Adams,2025,16099691,83497,99596,0,3134702,46926,0,12879,134967,0,394859,20007117
005,Agawam,2025,80101909,948362,423675,0,32168400,800,0,5730,3217157,0,215200,117081233
006,Alford,2025,1947217,11935,72070,0,26388,0,0,0,18309,0,0,2075919
007,Amesbury,2025,62884523,267615,825594,183816,13094348,0,0,51849,664719,0,1355220,79327684
008,Amherst,2025,71947711,1238940,1690564,0,17418001,0,1257731,58497,3139273,0,4599155,101349872
009,Andover,2025,202244630,3207025,5131597,436619,17237134,0,81,287168,4364287,0,2412720,235321261
010,Arlington,2025,173783072,704967,4952608,112111,29119855,15136,32054,19015,4111604,0,11358859,224209281
011,Ashburnham,2025,18467883,538580,148469,0,1305493,7485,124250,9257,163039,0,204530,20968986
012,Ashby,2025,8688921,292202,66934,0,814719,21422,0,415,163656,0,125000,10173269
013,Ashfield,2025,5837263,123032,4205,0,376999,0,0,1210,106487,0,332571,6781767
014,Ashland,2025,61241781,470453,643865,0,13561166,1773,0,38488,1392743,0,1732437,79082706
015,Athol,2025,19809705,1780538,347206,0,3565727,7110,0,0,721707,0,364597,26596590
016,Attleboro,2025,107954129,7307077,1417913,0,63828141,156566,0,122009,3466265,0,1633598,185885698
017,Auburn,2025,54454267,1905838,918440,0,17956539,130892,7587,76248,1048242,49995,3913417,80461465
018,Avon,2025,25270025,1215700,619763,0,5358517,1198,0,21504,838882,1250000,997954,35573543
019,Ayer,2025,31899312,142842,507273,0,1070238,176145,0,47392,956526,0,0,34799728
020,Barnstable,2025,171715329,5826674,3279243,528726,30926556,0,298638,349974,4475929,0,5007304,222408373
021,Barre,2025,0,0,0,0,0,0,0,0,0,0,0,0
022,Becket,2025,7366450,167988,118201,0,428271,8601,0,0,32149,350000,961039,9432699
023,Bedford,2025,91696317,12651349,3252822,0,9657543,80502,24061,0,1610581,0,8185385,127158560
024,Belchertown,2025,37763434,160391,411984,142371,17218995,2325,0,32304,706816,0,1404955,57843575
025,Bellingham,2025,61992410,2113524,752247,218660,13117901,92118,0,74021,788003,0,902783,80051667
026,Belmont,2025,136990352,1626218,2129620,0,15199716,0,0,312796,3760084,0,1490208,161508994
027,Berkley,2025,17766633,179922,123362,0,5105649,26939,0,330,385477,0,3387558,26975870
028,Berlin,2025,16367947,41293,173792,0,273483,31070,0,302,120816,0,1258777,18267480
029,Bernardston,2025,5920589,15942,5410,0,456282,99706,0,11769,121381,0,273366,6904445
030,Beverly,2025,137547795,1427209,2667323,460390,23106867,28472,0,1800,2189708,0,2384534,169814098
031,Billerica,2025,170802396,3427215,1885313,0,28730426,695,0,73279,1415687,0,1350000,207685011
032,Blackstone,2025,25618824,121622,366920,0,2129041,0,0,8440,660990,0,3055282,31961119
033,Blandford,2025,4068437,51134,20421,0,317972,12059,0,0,56482,0,172546,4699051
034,Bolton,2025,28667087,396170,1133475,0,348775,29614,0,140,891687,0,239284,31706232
035,Boston,2025,3746353806,40670085,84687381,0,536080340,1060499,0,63155127,200529223,0,0,4672536461
036,Bourne,2025,67020392,3035329,983003,77965,8971800,733,42894,150082,1482576,967806,7430175,90162755
037,Boxborough,2025,27605934,231851,257652,0,417760,1008,0,385,438803,0,38443,28991836
038,Boxford,2025,38629636,506490,584285,0,2904936,61113,0,1055,554977,0,14706,43257198
039,Boylston,2025,21596562,445834,263484,0,563038,19934,0,50,192769,0,621020,23702691
040,Braintree,2025,136922046,4732913,2938170,372709,29235920,88634,632400,0,2029814,207857,1472492,178632955
